第一   mq
页   q
一   m
科技   n
术语   n
的   ude1
汉译   v
术语   n
是   vshi
表示   v
某   rz
一   m
专门   d
概念   n
的   ude1
词语   n
科技   n
术语   n
就是   v
在   p
科技   n
方面   n
表示   v
某   rz
一   m
专门   d
概念   n
的   ude1
词语   n
因此   c
翻译   v
时   qt
要   v
十分注意   nz
不能   v
疏忽   vn
英语   nz
科技   n
术语   n
的   ude1
特点   n
是   vshi
词义   n
繁多   a
专业性   n
强   a
翻译   v
时   qt
必须   d
根据   p
专业   n
内容   n
谨慎   a
处理   vn
稍   d
不   d
注意   v
就   d
会   v
造成   v
很大   d
的   ude1
错误   n
如   v
有的   rz
人   n
把   pba
thenewlydevelopedpicturetub   nx
(   w
最新   a
研制成功   n
的   ude1
显像管   n
)   w
错译   nz
为   p
新近   d
被   pbei
发展   vn
了   ule
画面   n
管   v
；   w
又   d
有人   r
把   pba
auniqueinstant-picturesystem   nx
(   w
独特   a
的   ude1
瞬时   t
显像   nz
装置   n
)   w
错译   nz
为   p
独快   nr
的   ude1
图像   n
系统   n
等等   udeng
再以   c
cassette   nx
这个   rz
术语   n
为   p
例   n
它   rr
除了   p
其他   rzv
方面   n
的   ude1
意思   n
之外   f
在   p
录音磁带   nz
方面   n
也   d
还有   v
两   m
个   q
意思   n
一   m
为   p
装填   v
式   k
磁带盒   n
一   m
为   p
盒式磁带   n
究竟   d
应译   v
为   p
那个   rz
意思   n
要   v
从   p
上下文   n
的   ude1
具体   a
意思   n
去   vf
分析判断   n
如   v
进口   vn
的   ude1
收录   v
两用机   n
的   ude1
使用   v
说明书   n
上   f
有   vyou
checkingthecassette   nx
和   cc
toinsertcassette   nx
两   m
个   q
小标题   n
究竟   d
应当   v
怎么   ryv
译   v
呢   y
?   w
看来   v
分别   d
将   d
其   rz
的   ude1
译为   v
检查   vn
盒式磁带   n
和   cc
装上   n
盒式磁带   n
要   v
比   p
分别   d
译为   v
检查   vn
磁带盒   n
和   cc
装上   n
磁带盒   n
更好   d
一些   m
二   m
科技   n
英语   nz
中   f
倍数   n
增减   vn
(   w
包括   v
比较   d
)   w
的   ude1
汉译   v
1   m
倍   q
数   n
增加   v
的   ude1
译法   nz
英语   nz
中   f
说   v
增加   v
了   ule
多少   ry
倍   q
都   d
是   vshi
连   ulian
基数   n
也   d
包括   v
在内   u
的   ude1
是   vshi
表示   v
增加   v
后   f
的   ude1
结果   n
；   w
而   cc
在   p
汉语   gi
里   f
所谓   v
增加   v
了   ule
多少   ry
倍   q
则   d
只   d
表示   v
纯粹   b
增加   v
的   ude1
数量   n
所以   c
英语   nz
里   f
凡是   d
表示   v
倍数   n
增加   v
的   ude1
句型   n
汉译   v
时   qt
都   d
可   v
译成   v
是   vshi
……   w
的   ude1
几倍   nz
或   c
比   p
……   w
增加   v
(   w
n-   nx
1   m
)   w
倍   q
为了   p
便于   v
查阅   v
现   tg
将   d
英语   nz
中   f
表示   v
倍数   n
增加   v
的   ude1
一些   m
表达法   n
及其   cc
译法   nz
归纳如下   i
例如   v
aTheproductionofvariousstereorecordershasbeenincreasedfourtimesasagainst   nx
1977   m
.(   w
各种   rz
立体声   n
录音机   n
的   ude1
产量   n
比   p
1977   m
年   qt
增加   v
了   ule
三   m
倍   q
)   w
bTheoutputofcolortelevisionreceiversincreasedbyafactorof   nx
3   m
lastyear   nx
.(   w
去年   t
彩色电视   nz
接收机   n
的   ude1
产量   n
增加   v
了   ule
二   m
倍   q
)   w
应当   v
指出   v
有些   rz
书   n
认为   v
by   nx
后面   f
的   ude1
倍数   n
是   vshi
净   a
增加   v
的   ude1
倍数   n
汉译   v
时   qt
应译   v
为   p
净   a
增加   v
多少   ry
倍   q
的   ude1
而   cc
不该   v
减   v
一   m
倍   q
本人   rr
认为   v
这种   r
译法   nz
未必   d
妥当   a
因为   c
byntimes   nx
的   ude1
意思   n
是   vshi
用   p
n   nx
数   n
乘   v
如   v
15   m
increasedby   nx
5   m
times   nx
是   vshi
15   m
×   w
5   m
=   w
75   m
之   uzhi
意   ng
75   m
与   cc
15   m
相比   vi
显然   ad
是   vshi
增加   v
了   ule
四   m
倍   q
而   cc
不是   c
五   m
倍   q
2   m
倍   q
数   n
比较   d
的   ude1
译法   nz
(   w
1   m
)   w
ntimes   nx
+   w
largerthan   nx
+   w
被   pbei
比较   d
对象   n
表示   v
其   rz
大小   n
为   p
……   w
的   ude1
n   nx
倍   q
或   c
的   ude1
比   p
……   w
大   a
n-   nx
1   m
倍   q
例如   v
Thisthermalpowerplantisfourtimeslargerthanthatone   nx
.(   w
这个   rz
热电站   n
比   p
那个   rz
热电站   n
大   a
三   m
倍   q
)   w
这   rzv
是因为   c
英语   nz
在   p
倍数   n
比较   d
的   ude1
表达   v
上   f
其   rz
传统   n
习惯   n
是   vshi
largerthan   nx
等   udeng
于   p
aslargeas   nx
因此   c
汉译   v
时   qt
不能   v
只   d
从   p
字面上   n
理解   v
将   d
其   rz
译为   v
比   p
……   w
大   a
n   nx
倍   q
而   cc
应将   nr
其   rz
译为   v
是   vshi
……   w
的   ude1
n   nx
的   ude1
倍   q
或   c
比   p
……   w
大   a
n-   nx
1   m
倍   q
(   w
2   m
)   w
ntimes   nx
+   w
as   nx
+   w
原级   nr
+   w
as   nx
+   w
被   pbei
比较   d
对象   n
表示   v
是   vshi
……   w
的   ude1
n   nx
倍   q
例如   v
Ironisalmostthreetimesasheavyasaluminum   nx
.(   w
铁   n
的   ude1
重量   n
几乎   d
是   vshi
铝   n
的   ude1
三   m
倍   q
)   w
3   m
倍   q
数   n
减少   v
的   ude1
译法   nz
英语   nz
中   f
一切   rz
表示   v
倍数   n
减少   v
的   ude1
句型   n
汉译   v
时   qt
都   d
要   v
把   pba
它   rr
换成   v
分数   n
而   cc
不能   v
按照   p
字面   n
意义   n
将   d
其   rz
译成   v
减少   v
了   ule
多少   ry
倍   q
因为   c
汉语   gi
是   vshi
不   d
用   p
这种   r
表达方式   nz
的   ude1
所以   c
应当   v
把   pba
它   rr
译成   v
减少   v
了   ule
几   d
分之   mq
几   d
或   c
减少   v
到   v
几   d
分之   mq
几   d
我们   rr
所说   c
的   ude1
增减   vn
多少   ry
指   v
的   ude1
都   d
是   vshi
差额   n
差额   n
应当   v
是   vshi
以   p
原来   d
的   ude1
数量   n
为   p
标准   n
而   cc
不能   v
以   p
减少   v
后   f
的   ude1
数量   n
作   v
标准   n
英语   nz
表示   v
倍数   n
减少   v
时   qt
第一   mq
种   q
表达方式   nz
为   p
……   w
+   w
减少   v
意义   n
的   ude1
谓语   n
+   w
byafactoro   nx
的   ude1
fn   nx
或   c
byntimes   nx
这种   r
表达法   n
的   ude1
意思   n
是   vshi
成   v
n   nx
倍   q
地   ude2
减少   v
即   v
减少   v
前   f
的   ude1
数量   n
为   p
减少   v
后   f
的   ude1
数   n
(   w
1   m
)   w
Theautomaticassemblylinecanshortentheassemblingperiod   nx
(   w
by   nx
)   w
tentimes   nx
.(   w
自动   d
装配线   n
能够   v
缩短   v
装配   vn
期   qv
十分   d
之   uzhi
九   m
)(   w
2   m
)   w
Thismetalisthreetimesaslightasthatone   nx
.(   w
这种   r
金属比   nr
那种   r
金属   n
轻   a
三   m
分之二   n
)   w
第二   mq
种   q
表达方式   nz
为   p
ntimes   nx
+   w
减少   v
意义   n
的   ude1
比较级   n
三   m
科技   n
英语   nz
中   f
部分   n
否定句   nz
的   ude1
汉译   v
在   p
英语   nz
的   ude1
否定   v
结构   n
中   f
由于   p
习惯用法   n
问题   n
其中   rz
部分   n
否定句   nz
所   usuo
表示   v
的   ude1
意思   n
是   vshi
不能   v
按   p
字   n
的   ude1
面   nf
顺序   n
译成   v
汉语   gi
的   ude1
因此   c
翻译   v
时   qt
要   v
特别注意   i
英语   nz
中   f
含有   v
全体   n
意义   n
的   ude1
代词   n
和   cc
副词   n
如   v
alleverybothalwaysaltogetherentirely   nx
等   udeng
统称   vn
为   p
总括   v
词   n
它们   rr
用于   v
否定   v
结构   n
时   qt
不是   c
表示   v
全部   m
否定   v
而   cc
只   d
表示   v
其中   rz
的   ude1
一部分   mq
被   pbei
否定   v
因此   c
汉译   v
时   qt
不能   v
译作   n
一切   rz
……   w
都   d
不   d
而   cc
应译   v
为   p
